rpt_rec_num,Provider CCN,Facility Name,Street Address,City,State Code,Zip Code,County,Medicare CBSA Number,Rural versus Urban,Fiscal Year Begin Date,Fiscal Year End Date,Type of Control,Number of Beds,Total Bed Days Available,Total Days Title XVIII,Total Days Total,Total Discharges Title XVIII,Total Discharges Total,Inpatient Revenue,Outpatient Revenue,Total Patient Revenue,Less Contractual Allowance and Discounts on Patients' Accounts,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Net Income,DRG Amounts Other Than Outlier Payments,Total IME Payment,Allowable DSH Percentage,Cost To Charge Ratio
700011,467930,PAYNE LTD MEDICAL CENTER,429 MILLS VILLE,WEST VICKIE,TN,95444,WEST MEGAN COUNTY,46422,U,04/01/2022,03/28/2023,Voluntary Non-profit - Other,40,14600,8231,13109,1175,1872,57668748.73,45472552.32,103141301.05,36453933.95,66687367.099999994,55286946.24,11400420.86,11400420.86,11555384.11,0,0.3636,0.2825
700012,407615,GIBSON LTD MEDICAL CENTER,013 THEODORE DRIVE,NEW MICHAELBOROUGH,IL,48157,WILLISSIDE COUNTY,17856,U,06/01/2022,05/28/2023,Voluntary Non-profit - Other,84,30660,11723,22868,1757,3429,76815518.5,66625331.25,143440849.75,61064576.48,82376273.27000001,71922161.22,10454112.05,10454112.05,14689709.43,0,0.288,0.4926
700013,682638,ROBINSON LLC MEDICAL CENTER,59486 PAYNE RAPIDS SUITE 937,PORT ZACHARYFURT,AZ,89443,SOUTH APRIL COUNTY,14801,U,01/01/2022,12/28/2023,Voluntary Non-profit - Other,659,240535,72652,132768,11977,21889,927228506.01,564322911.49,1491551417.5,697198107.0,794353310.5,631466348.92,162886961.58,162886961.58,128501531.33,18089466.8,0.4243,0.4532
700014,432891,RAYMOND LLC MEDICAL CENTER,938 MONTGOMERY ISLANDS,GEORGEMOUTH,FL,75543,LAURIETOWN COUNTY,17014,U,02/01/2022,01/28/2023,Voluntary Non-profit - Other,382,139430,73900,120402,13635,22216,669734779.33,714604306.3,1384339085.63,658786179.84,725552905.7900001,652487238.83,73065666.96,73065666.96,181239591.61,10678498.59,0.3154,0.3271
700015,308239,ANDREWS-MARSHALL MEDICAL CENTER,02217 LAM CAMP,LINDSEYMOUTH,VA,50291,EAST RICHARD COUNTY,46154,U,03/01/2022,02/28/2023,Government - State,240,87600,28803,70068,4576,11134,426730150.58,337469076.9,764199227.48,402224130.02,361975097.46000004,300920632.29,61054465.17,61054465.17,26116740.32,3140420.47,0.3048,0.1852
700016,557658,WELCH-BAKER MEDICAL CENTER,59260 DUFFY RANCH,PORT CARL,CA,89787,MARKPORT COUNTY,20128,R,01/01/2022,12/28/2023,Voluntary Non-profit - Other,732,267180,119749,233123,17219,33522,2106966197.97,1092409359.44,3199375557.41,1061749187.05,2137626370.36,1993602023.8,144024346.56,144024346.56,312300219.97,14774907.79,0.1498,0.7072
700017,546000,BANKS-JONES MEDICAL CENTER,181 THOMAS FLATS,CORTEZSHIRE,GA,41990,PATTONBURY COUNTY,24915,R,04/01/2022,03/28/2023,Voluntary Non-profit - Church,447,163155,49341,86417,9315,16316,1463101783.75,1524242043.71,2987343827.46,1541517233.66,1445826593.8,1252354612.7,193471981.1,193471981.1,126170704.35,16606225.07,0.139,0.5364
700018,238119,CASEY AND SONS MEDICAL CENTER,7763 SHARON SHORE,JOSHUABOROUGH,NC,65965,NICHOLASPORT COUNTY,32654,R,01/01/2022,12/28/2023,Proprietary - Corporation,361,131765,30717,82834,4549,12268,552529274.79,446180948.69,998710223.48,469273490.01,529436733.47,456034481.23,73402252.24,73402252.24,42890419.66,4095034.25,0.4434,0.5074
700019,526143,"LOPEZ, YODER AND CHAPMAN MEDICAL CENTER",734 WILLIS STATION,JULIESTAD,PA,82902,TRAVISTON COUNTY,18167,R,06/01/2022,05/28/2023,Government - State,143,52195,18294,34982,3629,6940,503680679.98,202153763.32,705834443.3,375076040.91,330758402.3899999,304134898.48,26623503.91,26623503.91,29124428.45,0,0.078,0.347
700020,876279,WILLIAMS AND SONS MEDICAL CENTER,9121 HEATHER CIRCLE APT. 244,COXBURY,NJ,16229,MARYCHESTER COUNTY,40473,U,05/01/2022,04/28/2023,Proprietary - Corporation,359,131035,38913,88702,8422,19199,967137485.48,1114423758.95,2081561244.43,976938069.59,1104623174.8400002,991148704.38,113474470.46,113474470.46,35051713.03,2008420.51,0.222,0.5448
700021,418784,BLAKE-HODGES MEDICAL CENTER,592 JENNIFER CRESCENT APT. 122,NORTH AUSTINSTAD,PA,42896,ANDREBURY COUNTY,14772,U,01/01/2022,12/28/2023,Proprietary - Corporation,509,185785,98320,154119,14832,23250,1598007546.23,1001997271.85,2600004818.08,1211507238.65,1388497579.4299998,1184923801.13,203573778.3,203573778.3,146476839.29,18288098.64,0.1089,0.6585
700022,412988,"WOLF, CAMPBELL AND HAWKINS MEDICAL CENTER",30644 RYAN CREST APT. 187,MORGANVIEW,TX,81023,AMYFORT COUNTY,39914,R,05/01/2022,04/28/2023,Proprietary - Corporation,224,81760,30432,65420,5513,11853,348039562.81,330671668.35,678711231.1600001,355077931.76,323633299.4000001,304204716.44,19428582.96,19428582.96,73883075.17,8161754.77,0.2358,0.5405
700023,768939,BROWN PLC MEDICAL CENTER,1253 TUCKER TRACE APT. 467,BELLVILLE,TN,91910,PORT LAURA COUNTY,25679,R,03/01/2022,02/28/2023,Proprietary - Corporation,634,231410,85891,148969,15173,26317,2125242521.52,2366704579.68,4491947101.2,1826808356.79,2665138744.41,2371722132.26,293416612.15,293416612.15,150750088.89,17747956.04,0.3859,0.2218
700024,991320,MCDONALD LLC MEDICAL CENTER,2093 KANE BROOK,JESUSHAVEN,MI,43152,NORTH ALEXVIEW COUNTY,47728,U,05/01/2022,04/28/2023,Proprietary - Corporation,265,96725,26998,60546,4512,10120,289986603.7,169644826.34,459631430.03999996,217629715.16,242001714.87999997,201280454.73,40721260.15,40721260.15,45625838.27,2139325.78,0.2181,0.1832
700025,318657,"FRANK, ROSALES AND CARRILLO MEDICAL CENTER",27382 SHAWN ISLE APT. 172,JOHNSONMOUTH,MO,66496,WEST PENNYMOUTH COUNTY,18364,U,04/01/2022,03/28/2023,Government - State,330,120450,59408,98028,8086,13343,670681075.01,669348119.97,1340029194.98,584967068.34,755062126.64,613590359.61,141471767.03,141471767.03,56743382.36,3614374.19,0.3217,0.1946
700026,208705,FLORES-ELLIS MEDICAL CENTER,4246 ZACHARY CAUSEWAY,PORT DANA,NC,27481,KINGHAVEN COUNTY,11270,U,03/01/2022,02/28/2023,Voluntary Non-profit - Church,631,230315,61046,170459,9657,26966,767151972.69,590215086.79,1357367059.48,424273794.12,933093265.36,766796092.99,166297172.37,166297172.37,98915264.02,11648387.81,0.3828,0.72
700027,312876,"BOYD, NEAL AND MARTIN MEDICAL CENTER",426 JOHNSON LANE,SOUTH JARED,MO,24490,WEST ANITA COUNTY,20732,R,03/01/2022,02/28/2023,Voluntary Non-profit - Church,254,92710,41908,71716,6598,11292,859049703.2,996230823.0,1855280526.2,649051655.78,1206228870.42,911303792.47,294925077.95,294925077.95,82623390.76,3993633.84,0.3298,0.4925
700028,549728,STOUT-TURNER MEDICAL CENTER,6147 FRYE ORCHARD APT. 143,JAMESBURY,MI,58603,HAYNESSHIRE COUNTY,38074,R,01/01/2022,12/28/2023,Voluntary Non-profit - Church,614,224110,112025,175739,20334,31900,2330490620.01,1073883511.02,3404374131.03,1609089702.34,1795284428.6900003,1583365781.0,211918647.69,211918647.69,228618611.18,8170179.53,0.4435,0.4532
700029,718616,WEBB-MAHONEY MEDICAL CENTER,37933 LAURA STREAM SUITE 492,TIFFANYVILLE,MN,15691,WEST RYAN COUNTY,38545,U,05/01/2022,04/28/2023,Proprietary - Individual,37,13505,6860,11497,1507,2527,232435084.04,211159855.66,443594939.7,224981074.32,218613865.38,202852749.53,15761115.85,15761115.85,9694253.95,0,0.3733,0.354
700030,995526,VARGAS-THORNTON MEDICAL CENTER,14184 WALKER WAYS APT. 429,SNYDERTOWN,IN,52585,SANDRATON COUNTY,46424,U,05/01/2022,04/28/2023,Government - State,113,41245,12584,25934,1884,3884,240335793.53,224606002.43,464941795.96000004,178583750.94,286358045.02000004,237863112.14,48494932.88,48494932.88,17502702.75,0,0.1619,0.692
700031,547971,"DYER, CONLEY AND JOHNSON MEDICAL CENTER",19534 BRADLEY HARBORS APT. 753,LANGBOROUGH,CA,87888,ALEXANDERSTAD COUNTY,46070,R,05/01/2022,04/28/2023,Proprietary - Individual,272,99280,39480,79506,5890,11863,844371791.73,774054467.68,1618426259.4099998,684117412.17,934308847.2399999,781986045.53,152322801.71,152322801.71,58501126.73,5592837.94,0.2393,0.5595
700032,345853,ROBERTS-FITZGERALD MEDICAL CENTER,929 KIMBERLY RADIAL SUITE 849,BAILEYBOROUGH,MA,62193,EAST EDWARD COUNTY,24908,R,01/01/2022,12/28/2023,Voluntary Non-profit - Other,338,123370,29446,76248,6089,15768,428979715.33,355491703.19,784471418.52,384820416.59,399651001.93,325496666.18,74154335.75,74154335.75,81140023.75,7156776.72,0.1632,0.3432
700033,428827,"MCGUIRE, WHITE AND MERRITT MEDICAL CENTER",943 JAMES PORT SUITE 007,NEW YESENIA,TN,46007,MICHAELCHESTER COUNTY,17476,U,01/01/2022,12/28/2023,Proprietary - Corporation,154,56210,22635,35242,3756,5848,419308262.36,210083332.76,629391595.12,325468023.1,303923572.02,273799703.6,30123868.42,30123868.42,39314521.37,0,0.1237,0.4455
700034,858025,"LEVINE, BEARD AND TAYLOR MEDICAL CENTER",26082 TIMOTHY CREEK APT. 179,GAMBLEHAVEN,TX,12043,ROBBINSBURGH COUNTY,30013,U,03/01/2022,02/28/2023,Government - State,669,244185,76077,192348,11062,27970,2547582404.69,1192637268.63,3740219673.32,1354138075.35,2386081597.9700003,2086307206.03,299774391.94,299774391.94,180592931.1,12542024.37,0.4134,0.2125
700035,974824,"BUCKLEY, GREEN AND BRYANT MEDICAL CENTER",254 BRITTNEY STATION,BARNETTPORT,CO,70219,NEW CHARLESBERG COUNTY,27337,U,01/01/2022,12/28/2023,Government - Local,237,86505,28376,66085,6351,14791,539422129.91,453974318.21,993396448.1199999,336893670.49,656502777.6299999,547763454.64,108739322.99,108739322.99,41071402.26,2330941.25,0.3938,0.6141
700036,449199,"CAMERON, RIVERA AND BROWN MEDICAL CENTER",782 JOHN VIEWS,NORTH JONATHAN,IL,63902,SOUTH KEVIN COUNTY,45388,U,04/01/2022,03/28/2023,Proprietary - Corporation,460,167900,39583,94823,8436,20210,777149283.39,399290775.2,1176440058.59,370472162.25,805967896.3399999,771659748.71,34308147.63,34308147.63,68652420.82,5556090.95,0.1716,0.2234
700037,938245,MARTIN PLC MEDICAL CENTER,79639 KELLEY PATH,NORTH AUSTINSTAD,AZ,61630,LAKE MATTHEW COUNTY,28229,R,05/01/2022,04/28/2023,Government - State,467,170455,73010,137466,17037,32078,1142848680.38,1073636271.44,2216484951.82,1141776160.39,1074708791.43,931895855.92,142812935.51,142812935.51,145645405.46,17361539.75,0.1201,0.4154
700038,512899,"MCINTOSH, RODRIGUEZ AND MORENO MEDICAL CENTER",713 PEREZ EXTENSIONS,SOUTH PEGGY,OH,00757,WEST STEPHANIE COUNTY,36488,U,03/01/2022,02/28/2023,Voluntary Non-profit - Church,118,43070,14312,30291,2721,5759,150046086.62,79323346.47,229369433.09,92415530.15,136953902.94,121215289.52,15738613.42,15738613.42,13878697.73,0,0.0852,0.5351
700039,403594,BELL GROUP MEDICAL CENTER,354 BOWERS GREENS APT. 344,SOUTH JUANMOUTH,TN,37787,MCLAUGHLINBURY COUNTY,30365,U,05/01/2022,04/28/2023,Voluntary Non-profit - Church,498,181770,50302,123815,9325,22954,1750153504.18,1575710442.96,3325863947.1400003,1629665465.16,1696198481.9800003,1474736808.51,221461673.47,221461673.47,112006208.63,4008185.95,0.4393,0.4782
700040,349327,GALLOWAY INC MEDICAL CENTER,8600 HARMON LAKES,PORT JERRY,CA,36511,ELLENMOUTH COUNTY,18946,U,04/01/2022,03/28/2023,Proprietary - Individual,255,93075,52665,84417,9202,14751,398939223.72,425155330.9,824094554.62,349905501.28,474189053.34000003,419935400.85,54253652.49,54253652.49,145485208.79,7519405.6,0.2705,0.5972
700041,514090,CONWAY PLC MEDICAL CENTER,98853 APRIL PLAINS,ROGERSSIDE,NJ,74875,EAST ROBINCHESTER COUNTY,25650,U,04/01/2022,03/28/2023,Proprietary - Corporation,373,136145,60479,120400,8754,17429,693301249.25,442911814.59,1136213063.84,507585496.12,628627567.7199999,553147310.26,75480257.46,75480257.46,94089326.65,8632626.49,0.2674,0.3061
700042,662633,MAXWELL-GONZALES MEDICAL CENTER,9176 CLARK MEADOW APT. 696,EAST LESLIE,NJ,40335,NEW SANDRABERG COUNTY,44468,U,01/01/2022,12/28/2023,Voluntary Non-profit - Church,69,25185,7978,16221,1105,2248,106453586.61,126757607.09,233211193.7,116162125.98,117049067.71999998,100203818.94,16845248.78,16845248.78,21813222.79,0,0.1828,0.5701
700043,791588,PARSONS-CROSS MEDICAL CENTER,79993 CARSON PLAINS,REBECCAVILLE,NJ,37546,HENRYLAND COUNTY,14484,R,04/01/2022,03/28/2023,Government - Local,695,253675,84870,227871,12519,33614,1291004629.79,1160106469.22,2451111099.01,978902276.41,1472208822.6000004,1205641605.8,266567216.8,266567216.8,230240871.73,23365740.05,0.405,0.5496
700044,623950,KEMP-SCHAEFER MEDICAL CENTER,6983 SMITH CAMP,SOUTH CORYSIDE,MI,32133,RIVERASHIRE COUNTY,21140,R,05/01/2022,04/28/2023,Voluntary Non-profit - Church,257,93805,36541,76098,8075,16817,1123351767.22,1233511445.28,2356863212.5,968481377.9,1388381834.6,1249004614.98,139377219.62,139377219.62,53254808.61,3660167.94,0.1082,0.5091
700045,487951,"HARRISON, PADILLA AND ANDERSON MEDICAL CENTER",9813 FRED COMMON,NICHOLASSHIRE,NC,52185,PORT JAMES COUNTY,26390,U,05/01/2022,04/28/2023,Proprietary - Individual,659,240535,94448,189162,15421,30886,1108143666.37,1008769447.82,2116913114.19,878291638.41,1238621475.7800002,1113002881.81,125618593.97,125618593.97,183090891.71,5419865.19,0.4281,0.2876
700046,735689,GONZALEZ LLC MEDICAL CENTER,5010 CHARLES INLET APT. 565,PORT JULIEHAVEN,NC,18284,HUDSONFURT COUNTY,25081,U,06/01/2022,05/28/2023,Proprietary - Individual,519,189435,49406,106385,9175,19757,805733412.64,773039380.38,1578772793.02,482291247.95,1096481545.07,947215171.35,149266373.72,149266373.72,117526601.01,17225681.89,0.4142,0.2983
700047,633877,LEE-BISHOP MEDICAL CENTER,664 DENISE ALLEY APT. 276,SOUTH MELISSAMOUTH,IL,77637,CHRISTINABERG COUNTY,23159,R,03/01/2022,02/28/2023,Government - State,660,240900,85817,148814,12746,22103,1556622391.3,792979856.76,2349602248.06,761954821.4,1587647426.6599998,1301868554.32,285778872.34,285778872.34,136726763.23,5070311.69,0.4139,0.6533
700048,967511,GARCIA INC MEDICAL CENTER,733 HENRY KNOLL,PORT KATHLEEN,MO,38045,JOHNSONMOUTH COUNTY,46524,R,06/01/2022,05/28/2023,Voluntary Non-profit - Church,568,207320,64063,148378,13506,31283,2764846892.84,3194366556.81,5959213449.65,3228976084.31,2730237365.3399997,2461904085.25,268333280.09,268333280.09,66822115.62,7887662.09,0.1402,0.607
700049,922035,PERKINS-HILL MEDICAL CENTER,0087 WRIGHT GROVES,LAKE JOHN,AL,92729,JOHNTOWN COUNTY,40426,R,02/01/2022,01/28/2023,Government - Local,295,107675,38196,78523,5949,12230,853290052.27,740355469.84,1593645522.1100001,805754068.98,787891453.1300001,636348014.01,151543439.12,151543439.12,98547444.88,9163233.1,0.4161,0.4005
700050,632622,GEORGE INC MEDICAL CENTER,42963 BARR FLAT APT. 947,NEW CINDY,FL,83575,JENKINSBURGH COUNTY,42069,U,02/01/2022,01/28/2023,Proprietary - Corporation,71,25915,10167,23039,1744,3954,100762881.52,111827396.27,212590277.79,70987297.79,141602980.0,131055511.33,10547468.67,10547468.67,17246697.23,0,0.3469,0.6871
700051,214475,HUNTER LLC MEDICAL CENTER,520 DAVID FIELD APT. 943,JOHNSONMOUTH,MA,44626,MICHAELMOUTH COUNTY,49134,U,04/01/2022,03/28/2023,Voluntary Non-profit - Church,58,21170,6936,16707,1223,2947,106624443.75,73586735.21,180211178.95999998,98256888.84,81954290.11999997,71232705.04,10721585.08,10721585.08,9878075.98,0,0.4373,0.6049
700052,795106,"FOWLER, BRADLEY AND GARCIA MEDICAL CENTER",7126 LEE GLENS APT. 793,CALEBPORT,IN,75419,EAST TONISTAD COUNTY,21435,U,02/01/2022,01/28/2023,Government - Local,153,55845,19005,46179,2738,6655,403785468.08,350932561.53,754718029.6099999,379821844.85,374896184.7599999,334944764.75,39951420.01,39951420.01,27116756.05,0,0.4436,0.6479
700053,744629,GRAHAM-OWENS MEDICAL CENTER,95439 WALLACE POINTS APT. 404,CHRISTOPHERPORT,FL,33891,COLLINSBURY COUNTY,12841,U,04/01/2022,03/28/2023,Proprietary - Individual,40,14600,5648,9631,919,1567,30110129.76,18436251.99,48546381.75,16102331.69,32444050.060000002,25000102.63,7443947.43,7443947.43,8968312.64,0,0.2875,0.4273
700054,517240,OBRIEN-MCCARTHY MEDICAL CENTER,854 STEFANIE BURGS,GILMOREMOUTH,AL,95146,NEW MONICABOROUGH COUNTY,49150,U,06/01/2022,05/28/2023,Proprietary - Individual,87,31755,17448,28879,3111,5150,135512263.56,131436197.22,266948460.78,109686608.5,157261852.28,129634296.71,27627555.57,27627555.57,36400074.12,0,0.2841,0.425
700055,505176,"GREENE, HOLMES AND HERNANDEZ MEDICAL CENTER",0820 KENNEDY BROOK,WEST SHARONPORT,VA,76557,NEW STEPHANIESIDE COUNTY,34530,R,04/01/2022,03/28/2023,Government - Local,465,169725,53150,94821,7577,13518,920854043.64,934823569.0,1855677612.6399999,891114907.7,964562704.9399998,762918395.67,201644309.27,201644309.27,93631586.71,6936101.97,0.088,0.6784
700056,165712,CHAMBERS-RICHARDS MEDICAL CENTER,31696 PEGGY COVE SUITE 245,NATHANIELCHESTER,CA,03711,ANGELATOWN COUNTY,49348,R,04/01/2022,03/28/2023,Proprietary - Individual,118,43070,13745,36367,3041,8048,602692925.08,632475254.06,1235168179.1399999,542353310.85,692814868.2899998,577135208.07,115679660.22,115679660.22,21604890.65,0,0.3161,0.2359
700057,135381,"JONES, TRAN AND MULLINS MEDICAL CENTER",568 TURNER OVERPASS,PORT STEPHENBURY,PA,12470,WEST LAURA COUNTY,11897,R,05/01/2022,04/28/2023,Proprietary - Individual,242,88330,25356,51261,3624,7327,329412963.15,278358032.29,607770995.44,199787288.97,407983706.47,329797891.25,78185815.22,78185815.22,59792536.63,6028528.38,0.32,0.5595
700058,822391,ROBLES-RAMOS MEDICAL CENTER,8400 SHERRI LOOP,PATRICIASTAD,MI,35909,SOUTH CHRISTINASIDE COUNTY,13447,R,03/01/2022,02/28/2023,Voluntary Non-profit - Other,372,135780,36071,89193,7719,19087,1309664752.48,596772759.79,1906437512.27,925084056.11,981353456.16,844389733.04,136963723.12,136963723.12,63554468.9,2571617.56,0.1747,0.5874
700059,601897,"RICH, BROWN AND BYRD MEDICAL CENTER",9050 PATTERSON FERRY,HILLBURGH,AZ,23764,STEPHENSBURY COUNTY,10503,R,02/01/2022,01/28/2023,Proprietary - Individual,715,260975,69547,144010,12420,25719,1665172863.32,1217819161.93,2882992025.25,1020268509.57,1862723515.6799998,1533407499.37,329316016.31,329316016.31,140968644.65,12475927.19,0.1734,0.6905
700060,196129,MARTIN-ANDERSON MEDICAL CENTER,70446 CINDY HARBORS,SCHMIDTLAND,FL,51578,EAST ANDREA COUNTY,47732,U,04/01/2022,03/28/2023,Government - State,286,104390,25501,66066,4365,11310,578624529.74,291249824.64,869874354.38,376782237.82,493092116.56,416070864.56,77021252.0,77021252.0,42189752.83,4913645.28,0.2245,0.3984
700061,534630,HIGGINS-AYALA MEDICAL CENTER,0060 ROBERT BURG,RIVERAFURT,WA,33808,NORTH BRITTANYBERG COUNTY,31827,R,03/01/2022,02/28/2023,Voluntary Non-profit - Church,452,164980,49233,104417,6663,14132,441402207.67,511184121.59,952586329.26,395346403.5,557239925.76,463546024.09,93693901.67,93693901.67,85064058.66,6129586.44,0.0815,0.4557
700062,738601,GORDON-MORGAN MEDICAL CENTER,56855 JUSTIN CORNER APT. 923,RIVERASHIRE,CO,84713,ELIZABETHFURT COUNTY,46944,U,06/01/2022,05/28/2023,Proprietary - Corporation,568,207320,92668,149038,17311,27842,2060536057.63,2174192921.28,4234728978.9100003,2133283900.46,2101445078.4500003,1635331316.62,466113761.83,466113761.83,217251698.91,22858391.98,0.1209,0.5478
700063,575703,"SANTOS, HART AND THOMAS MEDICAL CENTER",246 HOWELL THROUGHWAY APT. 237,CHRISTENSENPORT,TX,62313,NORTH ALEJANDRO COUNTY,15028,U,01/01/2022,12/28/2023,Government - State,683,249295,102850,191400,14584,27141,1799332688.33,937031144.83,2736363833.16,867623161.96,1868740671.1999998,1463514587.77,405226083.43,405226083.43,191706237.44,11570050.49,0.2308,0.5008
700064,209266,BRIGHT-BROWN MEDICAL CENTER,8896 PETERS FALL SUITE 960,MALDONADOBURY,NC,14354,WEST CRYSTAL COUNTY,21308,U,06/01/2022,05/28/2023,Voluntary Non-profit - Other,498,181770,86316,135660,13002,20435,432379035.13,487394928.54,919773963.6700001,407380923.19,512393040.4800001,446544464.05,65848576.43,65848576.43,151570370.09,19010817.57,0.385,0.5621
700065,943463,BELL-HALL MEDICAL CENTER,71167 COLLINS OVERPASS APT. 325,FRANCISSHIRE,NY,87363,GRANTVILLE COUNTY,31847,U,06/01/2022,05/28/2023,Government - State,561,204765,58937,148223,10852,27294,1085831894.77,789416637.22,1875248531.99,721205183.44,1154043348.55,1017384525.72,136658822.83,136658822.83,63626104.35,6883664.63,0.1637,0.5384
700066,217937,FRIEDMAN INC MEDICAL CENTER,756 WILLIAMS SKYWAY,SOUTH WILLIAMHAVEN,MO,71755,PHAMCHESTER COUNTY,43324,R,05/01/2022,04/28/2023,Voluntary Non-profit - Church,342,124830,62681,112022,11409,20391,1301316397.61,1497036673.68,2798353071.29,1056085777.75,1742267293.54,1597535241.57,144732051.97,144732051.97,155136857.02,18002190.63,0.3242,0.3758
700067,267172,CANTU-WHITNEY MEDICAL CENTER,29584 WALTER FORT,GUTIERREZSTAD,GA,41471,BARNESPORT COUNTY,20109,R,05/01/2022,04/28/2023,Voluntary Non-profit - Other,244,89060,33735,58180,6979,12036,1143398333.09,599090575.21,1742488908.3,651600286.56,1090888621.74,992561852.66,98326769.08,98326769.08,64110334.59,6798952.33,0.4006,0.6289
700068,578218,SMITH LLC MEDICAL CENTER,702 HAWKINS MISSION,PORT REBECCABURY,VA,35838,JANETSHIRE COUNTY,40256,R,02/01/2022,01/28/2023,Proprietary - Corporation,194,70810,20601,56737,3813,10502,770931833.45,906362109.15,1677293942.6,759225183.51,918068759.0899999,800024590.98,118044168.11,118044168.11,56336187.01,0,0.3637,0.4516
